date,location,scrape_date,team_1,team_2,rank_1,rank_2,elo_1,elo_2,elo_diff_1,team_1_w,draw,team_2_w,team_1_odds,draw_odds,team_2_odds
2024-10-15,World Cup qualifier in Palestine,2024-07-06,Palestine,Kuwait,103,127,1406,1334,72,0.4188963210702341,0.2842809364548495,0.2968227424749164,2.3872255489021956,3.51764705882353,3.3690140845070418
2024-10-15,World Cup qualifier in Saudi Arabia,2024-07-06,Saudi Arabia,Bahrain,63,92,1587,1453,134,0.47880539499036606,0.28901734104046245,0.2321772639691715,2.0885311871227366,3.4599999999999995,4.3070539419087135
2024-10-15,World Cup qualifier in South Korea,2024-07-06,South Korea,Iraq,35,51,1738,1660,78,0.4188963210702341,0.2842809364548495,0.2968227424749164,2.3872255489021956,3.51764705882353,3.3690140845070418
2024-10-15,World Cup qualifier in Uzbekistan,2024-07-06,Uzbekistan,United Arab Emirates,46,83,1680,1501,179,0.5538954108858057,0.25933831376734257,0.18676627534685167,1.8053949903660886,3.8559670781893005,5.354285714285714
2024-10-15,European League A in Poland,2024-07-06,Poland,Croatia,39,12,1730,1916,-186,0.1875,0.25646551724137934,0.5560344827586207,5.333333333333333,3.8991596638655457,1.7984496124031009
2024-10-15,European League A in Scotland,2024-07-06,Scotland,Portugal,36,9,1735,1960,-225,0.15625,0.23567708333333334,0.6080729166666666,6.4,4.2430939226519335,1.644539614561028
2024-10-15,European League A in Spain,2024-07-06,Spain,Serbia,2,24,2112,1789,323,0.7140319715808171,0.18650088809946713,0.0994671403197158,1.4004975124378107,5.361904761904762,10.053571428571429
2024-10-15,European League A in Switzerland,2024-07-06,Switzerland,Denmark,13,19,1904,1816,88,0.4188963210702341,0.2842809364548495,0.2968227424749164,2.3872255489021956,3.51764705882353,3.3690140845070418
2024-10-15,European League C in Belarus,2024-07-06,Belarus,Luxembourg,96,79,1433,1511,-78,0.2950955943474647,0.28345802161263506,0.42144638403990026,3.388732394366197,3.5278592375366573,2.3727810650887573
2024-10-15,European League C in Kosovo,2024-07-06,Kosovo,Cyprus,81,138,1505,1315,190,0.5538954108858057,0.25933831376734257,0.18676627534685167,1.8053949903660886,3.8559670781893005,5.354285714285714
2024-10-15,European League C in Lithuania,2024-07-06,Lithuania,Romania,117,45,1356,1682,-326,0.10124333925399645,0.17939609236234458,0.7193605683836589,9.87719298245614,5.574257425742575,1.3901234567901235
2024-10-15,European League C in Northern Ireland,2024-07-06,Northern Ireland,Bulgaria,78,85,1518,1488,30,0.376139188069594,0.3115161557580779,0.3123446561723281,2.6585903083700444,3.210106382978723,3.2015915119363396
2024-10-15,Friendly tournament in Vietnam,2024-07-06,Vietnam,Lebanon,149,140,1270,1297,-27,0.3103161397670549,0.3136439267886855,0.37603993344425957,3.222520107238606,3.1883289124668437,2.65929203539823
2024-10-15,World Cup qualifier in Argentina,2024-07-06,Argentina,Bolivia,1,73,2142,1551,591,0.8629032258064516,0.08064516129032258,0.056451612903225805,1.158878504672897,12.4,17.714285714285715
2024-10-15,World Cup qualifier in Brazil,2024-07-06,Brazil,Peru,6,41,2021,1710,311,0.7140319715808171,0.18650088809946713,0.0994671403197158,1.4004975124378107,5.361904761904762,10.053571428571429
