date,location,game,team_1,draw,team_2
2024-09-09,CONCACAF League B in Curaçao,Curaçao vs Saint Martin,1.3,5.37,23.0
2024-09-09,CONCACAF League B in Grenada,Grenada vs Saint Lucia,3.22,3.19,2.66
2024-09-09,CONCACAF League B in Haiti,Haiti vs Sint Maarten,1.07,15.83,inf
2024-09-10,World Cup qualifier in Bahrain,Bahrain vs Japan,25.0,5.33,1.29
2024-09-10,World Cup qualifier in China,China vs Saudi Arabia,5.33,3.9,1.8
2024-09-10,World Cup qualifier in Indonesia,Indonesia vs Australia,25.0,5.33,1.29
2024-09-10,World Cup qualifier in Kuwait,Kuwait vs Iraq,9.88,5.57,1.39
2024-09-10,World Cup qualifier in North Korea,North Korea vs Qatar,6.4,4.24,1.64
2024-09-10,World Cup qualifier in Oman,Oman vs South Korea,6.4,4.24,1.64
2024-09-10,World Cup qualifier in Palestine,Palestine vs Jordan,6.4,4.24,1.64
2024-09-10,World Cup qualifier in UAE,United Arab Emirates vs Iran,9.88,5.57,1.39
2024-09-10,Asian Cup qualifier in Cambodia,Cambodia vs Sri Lanka,1.81,3.86,5.35
2024-09-10,Asian Cup qualifier in Macao,Macao vs Brunei,2.66,3.21,3.2
2024-09-10,Asian Cup qualifier in Mongolia,Mongolia vs East Timor,1.81,3.86,5.35
2024-09-10,European League A in Hungary,Hungary vs Bosnia/Herzegovina,1.4,5.36,10.05
2024-09-10,European League A in the Netherlands,Netherlands vs Germany,2.39,3.52,3.37
2024-09-10,European League B in Albania,Albania vs Georgia,3.39,3.53,2.37
2024-09-10,European League B in Czechia,Czechia vs Ukraine,3.39,3.53,2.37
2024-09-10,European League B in England,England vs Finland,1.4,5.36,10.05
2024-09-10,European League B in Ireland,Ireland vs Greece,4.36,3.43,2.09
2024-09-10,European League C in Latvia,Latvia vs Faroe Islands,2.39,3.52,3.37
2024-09-10,European League C in North Macedonia,North Macedonia vs Armenia,2.39,3.52,3.37
2024-09-10,European League D in Andorra,Andorra vs Malta,4.36,3.43,2.09
2024-09-10,Friendly in the United States,Canada vs Mexico,3.22,3.19,2.66
2024-09-10,Friendly in the United States,United States vs New Zealand,1.81,3.86,5.35
2024-09-10,Friendly in Moldova,Moldova vs San Marino,1.16,12.4,17.71
2024-09-10,World Cup qualifier in Chile,Chile vs Bolivia,1.81,3.86,5.35
2024-09-10,World Cup qualifier in Colombia,Colombia vs Argentina,4.36,3.43,2.09
2024-09-10,World Cup qualifier in Ecuador,Ecuador vs Peru,1.81,3.86,5.35
2024-09-10,World Cup qualifier in Paraguay,Paraguay vs Brazil,12.57,5.89,1.33
2024-09-10,World Cup qualifier in Venezuela,Venezuela vs Uruguay,6.4,4.24,1.64
2024-09-10,CONCACAF League A in Cuba,Cuba vs Nicaragua,3.39,3.53,2.37
2024-09-10,CONCACAF League A in Honduras,Honduras vs Jamaica,3.39,3.53,2.37
