game_id,date,location,team,opp,score,opp_score,old_elo,opp_elo,elo_diff,result_class
2024-06-06United Arab EmiratesNepal,2024-06-06,World Cup  and  Asian Cup qualifier in Saudi Arabia,Nepal,United Arab Emirates,0,4,889,1508,-619,T2
2024-06-06UzbekistanTurkmenistan,2024-06-06,World Cup  and  Asian Cup qualifier in Uzbekistan,Uzbekistan,Turkmenistan,3,1,1666,1219,447,T1
2024-06-06UzbekistanTurkmenistan,2024-06-06,World Cup  and  Asian Cup qualifier in Uzbekistan,Turkmenistan,Uzbekistan,1,3,1219,1666,-447,T2
2024-06-06VietnamPhilippines,2024-06-06,World Cup  and  Asian Cup qualifier in Vietnam,Philippines,Vietnam,2,3,1045,1268,-223,T2
2024-06-06VietnamPhilippines,2024-06-06,World Cup  and  Asian Cup qualifier in Vietnam,Vietnam,Philippines,3,2,1268,1045,223,T1
2024-06-07AlbaniaAzerbaijan,2024-06-07,Friendly in Hungary,Albania,Azerbaijan,3,1,1614,1494,120,T1
2024-06-07AlbaniaAzerbaijan,2024-06-07,Friendly in Hungary,Azerbaijan,Albania,1,3,1494,1614,-120,T2
2024-06-07AngolaEswatini,2024-06-07,World Cup qualifier in Angola,Eswatini,Angola,0,1,1250,1508,-258,T2
2024-06-07AngolaEswatini,2024-06-07,World Cup qualifier in Angola,Angola,Eswatini,1,0,1508,1250,258,T1
2024-06-07ArmeniaKazakhstan,2024-06-07,Friendly in Armenia,Kazakhstan,Armenia,1,2,1470,1454,16,T2
2024-06-07ArmeniaKazakhstan,2024-06-07,Friendly in Armenia,Armenia,Kazakhstan,2,1,1454,1470,-16,T1
2024-06-07BelarusRussia,2024-06-07,Friendly in Belarus,Belarus,Russia,0,4,1454,1772,-318,T2
2024-06-07BelarusRussia,2024-06-07,Friendly in Belarus,Russia,Belarus,4,0,1772,1454,318,T1
2024-06-07BurundiKenya,2024-06-07,World Cup qualifier in Malawi,Burundi,Kenya,1,1,1281,1406,-125,D
2024-06-07BurundiKenya,2024-06-07,World Cup qualifier in Malawi,Kenya,Burundi,1,1,1406,1281,125,D
2024-06-07CambodiaMongolia,2024-06-07,Friendly in Cambodia,Cambodia,Mongolia,2,0,842,790,52,T1
2024-06-07CambodiaMongolia,2024-06-07,Friendly in Cambodia,Mongolia,Cambodia,0,2,790,842,-52,T2
2024-06-07CzechiaMalta,2024-06-07,Friendly in Austria,Czechia,Malta,7,1,1772,1261,511,T1
2024-06-07CzechiaMalta,2024-06-07,Friendly in Austria,Malta,Czechia,1,7,1261,1772,-511,T2
2024-06-07EnglandIceland,2024-06-07,Friendly in England,England,Iceland,0,1,2000,1545,455,T2
2024-06-07EnglandIceland,2024-06-07,Friendly in England,Iceland,England,1,0,1545,2000,-455,T1
2024-06-07GermanyGreece,2024-06-07,Friendly in Germany,Greece,Germany,1,2,1740,1917,-177,T2
2024-06-07GermanyGreece,2024-06-07,Friendly in Germany,Germany,Greece,2,1,1917,1740,177,T1
2024-06-07Ivory CoastGabon,2024-06-07,World Cup qualifier in Ivory Coast,Ivory Coast,Gabon,1,0,1631,1433,198,T1
2024-06-07Ivory CoastGabon,2024-06-07,World Cup qualifier in Ivory Coast,Gabon,Ivory Coast,0,1,1433,1631,-198,T2
2024-06-07LesothoZimbabwe,2024-06-07,World Cup qualifier in South Africa,Lesotho,Zimbabwe,2,0,1253,1323,-70,T1
2024-06-07LesothoZimbabwe,2024-06-07,World Cup qualifier in South Africa,Zimbabwe,Lesotho,0,2,1323,1253,70,T2
2024-06-07MadagascarComoros,2024-06-07,World Cup qualifier in South Africa,Comoros,Madagascar,1,2,1305,1296,9,T2
2024-06-07MadagascarComoros,2024-06-07,World Cup qualifier in South Africa,Madagascar,Comoros,2,1,1296,1305,-9,T1
2024-06-07MoroccoZambia,2024-06-07,World Cup qualifier in Morocco,Morocco,Zambia,2,1,1767,1485,282,T1
2024-06-07MoroccoZambia,2024-06-07,World Cup qualifier in Morocco,Zambia,Morocco,1,2,1485,1767,-282,T2
2024-06-07MozambiqueSomalia,2024-06-07,World Cup qualifier in Mozambique,Mozambique,Somalia,2,1,1366,906,460,T1
2024-06-07MozambiqueSomalia,2024-06-07,World Cup qualifier in Mozambique,Somalia,Mozambique,1,2,906,1366,-460,T2
2024-06-07NigeriaSouth Africa,2024-06-07,World Cup qualifier in Nigeria,South Africa,Nigeria,1,1,1575,1629,-54,D
2024-06-07NigeriaSouth Africa,2024-06-07,World Cup qualifier in Nigeria,Nigeria,South Africa,1,1,1629,1575,54,D
2024-06-07PeruParaguay,2024-06-07,Friendly in Peru,Paraguay,Peru,0,0,1705,1746,-41,D
2024-06-07PeruParaguay,2024-06-07,Friendly in Peru,Peru,Paraguay,0,0,1746,1705,41,D
2024-06-07PolandUkraine,2024-06-07,Friendly in Poland,Ukraine,Poland,1,3,1867,1721,146,T2
2024-06-07PolandUkraine,2024-06-07,Friendly in Poland,Poland,Ukraine,3,1,1721,1867,-146,T1
2024-06-07RomaniaLiechtenstein,2024-06-07,Friendly in Romania,Liechtenstein,Romania,0,0,958,1657,-699,D
2024-06-07RomaniaLiechtenstein,2024-06-07,Friendly in Romania,Romania,Liechtenstein,0,0,1657,958,699,D
2024-06-07ScotlandFinland,2024-06-07,Friendly in Scotland,Finland,Scotland,2,2,1621,1776,-155,D
2024-06-07ScotlandFinland,2024-06-07,Friendly in Scotland,Scotland,Finland,2,2,1776,1621,155,D
2024-06-07UgandaBotswana,2024-06-07,World Cup qualifier in Uganda,Uganda,Botswana,1,0,1363,1343,20,T1
2024-06-07UgandaBotswana,2024-06-07,World Cup qualifier in Uganda,Botswana,Uganda,0,1,1343,1363,-20,T2
2024-06-08AnguillaSuriname,2024-06-08,World Cup qualifier in Anguilla,Anguilla,Suriname,0,4,603,1317,-714,T2
2024-06-08AnguillaSuriname,2024-06-08,World Cup qualifier in Anguilla,Suriname,Anguilla,4,0,1317,603,714,T1
2024-06-08ArubaCuraçao,2024-06-08,World Cup qualifier in Aruba,Aruba,Curaçao,0,2,998,1343,-345,T2
2024-06-08ArubaCuraçao,2024-06-08,World Cup qualifier in Aruba,Curaçao,Aruba,2,0,1343,998,345,T1
2024-06-08BelgiumLuxembourg,2024-06-08,Friendly in Belgium,Luxembourg,Belgium,0,3,1512,1987,-475,T2
2024-06-08BelgiumLuxembourg,2024-06-08,Friendly in Belgium,Belgium,Luxembourg,3,0,1987,1512,475,T1
2024-06-08BelizeNicaragua,2024-06-08,World Cup qualifier in Belize,Belize,Nicaragua,0,4,1075,1327,-252,T2
2024-06-08BelizeNicaragua,2024-06-08,World Cup qualifier in Belize,Nicaragua,Belize,4,0,1327,1075,252,T1
2024-06-08BrazilMexico,2024-06-08,Friendly in the United States,Brazil,Mexico,3,2,2028,1795,233,T1
2024-06-08BrazilMexico,2024-06-08,Friendly in the United States,Mexico,Brazil,2,3,1795,2028,-233,T2
2024-06-08British Virgin IslandsGuatemala,2024-06-08,World Cup qualifier in the British Virgin Islands,British Virgin Islands,Guatemala,0,3,654,1485,-831,T2
2024-06-08British Virgin IslandsGuatemala,2024-06-08,World Cup qualifier in the British Virgin Islands,Guatemala,British Virgin Islands,3,0,1485,654,831,T1
2024-06-08BruneiSri Lanka,2024-06-08,Friendly in Brunei,Brunei,Sri Lanka,1,0,621,707,-86,T1
2024-06-08BruneiSri Lanka,2024-06-08,Friendly in Brunei,Sri Lanka,Brunei,0,1,707,621,86,T2
2024-06-08CameroonCape Verde,2024-06-08,World Cup qualifier in Cameroon,Cameroon,Cape Verde,4,1,1557,1582,-25,T1
2024-06-08CameroonCape Verde,2024-06-08,World Cup qualifier in Cameroon,Cape Verde,Cameroon,1,4,1582,1557,25,T2
