date,teams,location,rank,elo,win_pct,scrape_date
Mon Sep 9,Turkey> Iceland>,European League B in Turkey,22 68,1805 1562,88% 12%,2024-07-06
Mon Sep 9,Cyprus> Kosovo>,European League C in Cyprus,138 81,1315 1505,37% 63%,2024-07-06
Mon Sep 9,Romania> Lithuania>,European League C in Romania,45 117,1682 1356,92% 8%,2024-07-06
Mon Sep 9,Guadeloupe> Suriname>,CONCACAF League A in Guadeloupe,130 135,1327 1319,65% 35%,2024-07-06
Mon Sep 9,Guatemala> Costa Rica>,CONCACAF League A in Guatemala,86 49,1485 1661,39% 61%,2024-07-06
Mon Sep 9,Martinique> Guyana>,CONCACAF League A in Martinique,95 146,1437 1274,82% 18%,2024-07-06
Mon Sep 9,Aruba> Puerto Rico>,CONCACAF League B in Aruba,189 165,992 1148,42% 58%,2024-07-06
Mon Sep 9,Curaçao> Saint Martin>,CONCACAF League B in Curaçao,118 194,1355 942,95% 5%,2024-07-06
Mon Sep 9,Grenada> Saint Lucia>,CONCACAF League B in Grenada,175 174,1083 1084,64% 36%,2024-07-06
Mon Sep 9,Haiti> Sint Maarten>,CONCACAF League B in Haiti,82 204,1502 855,98.7% 1.3%,2024-07-06
Tue Sep 10,Bahrain> Japan>,World Cup qualifier in Bahrain,92 17,1453 1856,15% 85%,2024-07-06
Tue Sep 10,China> Saudi Arabia>,World Cup qualifier in China,107 63,1396 1587,37% 63%,2024-07-06
Tue Sep 10,Indonesia> Australia>,World Cup qualifier in Indonesia,129 27,1330 1774,12% 88%,2024-07-06
Tue Sep 10,Kuwait> Iraq>,World Cup qualifier in Kuwait,127 51,1334 1660,21% 79%,2024-07-06
Tue Sep 10,North Korea> Qatar>,World Cup qualifier in North Korea,108 55,1395 1631,31% 69%,2024-07-06
Tue Sep 10,Oman> South Korea>,World Cup qualifier in Oman,76 35,1529 1738,35% 65%,2024-07-06
Tue Sep 10,Palestine> Jordan>,World Cup qualifier in Palestine,103 53,1406 1635,32% 68%,2024-07-06
Tue Sep 10,United Arab Emirates> Iran>,World Cup qualifier in UAE,83 21,1501 1807,23% 77%,2024-07-06
Tue Sep 10,Cambodia> Sri Lanka>,Asian Cup qualifier in Cambodia,205 220,842 688,81% 19%,2024-07-06
Tue Sep 10,Macao> Brunei>,Asian Cup qualifier in Macao,225 228,665 640,67% 33%,2024-07-06
Tue Sep 10,Mongolia> East Timor>,Asian Cup qualifier in Mongolia,210 231,790 610,83% 17%,2024-07-06
Tue Sep 10,Hungary> Bosnia/Herzegovina>,European League A in Hungary,23 89,1801 1476,92% 8%,2024-07-06
Tue Sep 10,Netherlands> Germany>,European League A in the Netherlands,7 10,1989 1934,71% 29%,2024-07-06
Tue Sep 10,Albania> Georgia>,European League B in Albania,55 42,1631 1704,54% 46%,2024-07-06
Tue Sep 10,Czechia> Ukraine>,European League B in Czechia,38 19,1732 1816,52% 48%,2024-07-06
Tue Sep 10,England> Finland>,European League B in England,8 57,1971 1627,93% 7%,2024-07-06
Tue Sep 10,Ireland> Greece>,European League B in Ireland,59 34,1619 1739,47% 53%,2024-07-06
Tue Sep 10,Latvia> Faroe Islands>,European League C in Latvia,134 152,1321 1246,73% 27%,2024-07-06
Tue Sep 10,North Macedonia> Armenia>,European League C in North Macedonia,74 90,1547 1462,74% 26%,2024-07-06
Tue Sep 10,Andorra> Malta>,European League D in Andorra,170 151,1110 1257,43% 57%,2024-07-06
Tue Sep 10,Canada> Mexico>,Friendly in the United States,31 25,1747 1785,45% 55%,2024-07-06
Tue Sep 10,United States> New Zealand>,Friendly in the United States,31 65,1747 1571,83% 17%,2024-07-06
Tue Sep 10,Moldova> San Marino>,Friendly in Moldova,120 212,1350 774,98% 2%,2024-07-06
Tue Sep 10,Chile> Bolivia>,World Cup qualifier in Chile,40 73,1723 1551,83% 17%,2024-07-06
Tue Sep 10,Colombia> Argentina>,World Cup qualifier in Colombia,4 1,2030 2142,48% 52%,2024-07-06
Tue Sep 10,Ecuador> Peru>,World Cup qualifier in Ecuador,16 41,1871 1710,82% 18%,2024-07-06
Tue Sep 10,Paraguay> Brazil>,World Cup qualifier in Paraguay,49 6,1661 2021,18% 82%,2024-07-06
Tue Sep 10,Venezuela> Uruguay>,World Cup qualifier in Venezuela,18 5,1820 2027,35% 65%,2024-07-06
Tue Sep 10,Cuba> Nicaragua>,CONCACAF League A in Cuba,141 122,1295 1349,57% 43%,2024-07-06
Tue Sep 10,Honduras> Jamaica>,CONCACAF League A in Honduras,79 61,1511 1589,53% 47%,2024-07-06
Tue Sep 10,Trinidad and Tobago> French Guiana>,CONCACAF League A in Trinidad & Tobago,102 143,1413 1288,79% 21%,2024-07-06
Tue Sep 10,Antigua and Barbuda> Bermuda>,CONCACAF League B in Antigua & Barbuda,190 168,988 1126,45% 55%,2024-07-06
Tue Sep 10,Dominican Republic> Dominica>,CONCACAF League B in the Dominican Rep,159 186,1208 1008,85% 15%,2024-07-06
Tue Sep 10,Barbados> US Virgin Islands>,CONCACAF League C in Barbados,195 230,930 618,91% 9%,2024-07-06
Tue Sep 10,Belize> Anguilla>,CONCACAF League C in Belize,182 233,1039 599,96% 4%,2024-07-06
Tue Sep 10,Saint Kitts and Nevis> British Virgin Islands>,CONCACAF League C in St Kitts and Nevis,176 227,1082 651,96% 4%,2024-07-06
Sat Sep 14,Brunei> East Timor>,SE Asian Champ qual in Brunei,228 231,640 610,68% 32%,2024-07-06
Sat Sep 21,East Timor> Brunei>,SE Asian Champ qual in East Timor,231 228,610 640,60% 40%,2024-07-06
Wed Oct 9,Vietnam> India>,Friendly tournament in Vietnam,149 162,1270 1194,73% 27%,2024-07-06
Wed Oct 9,Bahamas> US Virgin Islands>,CONCACAF League C in the Bahamas,209 230,810 618,84% 16%,2024-07-06
Wed Oct 9,Cayman Islands> British Virgin Islands>,CONCACAF League C in the Cayman Islands,207 227,825 651,83% 17%,2024-07-06
Wed Oct 9,Turks and Caicos> Anguilla>,CONCACAF League C in Turks and Caicos,219 233,690 599,75% 25%,2024-07-06
Thu Oct 10,Australia> China>,World Cup qualifier in Australia,27 107,1774 1396,94% 6%,2024-07-06
Thu Oct 10,Bahrain> Indonesia>,World Cup qualifier in Bahrain,92 129,1453 1330,78% 22%,2024-07-06
Thu Oct 10,Iraq> Palestine>,World Cup qualifier in Iraq,51 103,1660 1406,88% 12%,2024-07-06
Thu Oct 10,Jordan> South Korea>,World Cup qualifier in Jordan,53 35,1635 1738,50% 50%,2024-07-06
Thu Oct 10,Oman> Kuwait>,World Cup qualifier in Oman,76 127,1529 1334,85% 15%,2024-07-06
Thu Oct 10,Qatar> Kyrgyzstan>,World Cup qualifier in Qatar,55 145,1631 1279,93% 7%,2024-07-06
Thu Oct 10,Saudi Arabia> Japan>,World Cup qualifier in Saudi Arabia,63 17,1587 1856,27% 73%,2024-07-06
Thu Oct 10,United Arab Emirates> North Korea>,World Cup qualifier in UAE,83 108,1501 1395,77% 23%,2024-07-06
Thu Oct 10,Uzbekistan> Iran>,World Cup qualifier in Uzbekistan,46 21,1680 1807,46% 54%,2024-07-06
Thu Oct 10,Israel> France>,European League A in Israel,66 3,1567 2069,9% 91%,2024-07-06
Thu Oct 10,Italy> Belgium>,European League A in Italy,14 10,1891 1934,58% 42%,2024-07-06
Thu Oct 10,Austria> Kazakhstan>,European League B in Austria,15 92,1876 1453,95% 5%,2024-07-06
Thu Oct 10,England> Greece>,European League B in England,8 34,1971 1739,87% 13%,2024-07-06
Thu Oct 10,Finland> Ireland>,European League B in Finland,57 59,1627 1619,65% 35%,2024-07-06
Thu Oct 10,Norway> Slovenia>,European League B in Norway,37 29,1734 1771,59% 41%,2024-07-06
Thu Oct 10,Faroe Islands> Armenia>,European League C in the Faroe Islands,152 90,1246 1462,34% 66%,2024-07-06
Thu Oct 10,Latvia> North Macedonia>,European League C in Latvia,134 74,1321 1547,33% 67%,2024-07-06
Thu Oct 10,Gibraltar> San Marino>,European League D in Gibraltar,180 212,1057 774,90% 10%,2024-07-06
Thu Oct 10,Moldova> Andorra>,European League D in Moldova,120 170,1350 1110,88% 12%,2024-07-06
Thu Oct 10,Liechtenstein> Hong Kong>,Friendly in Liechtenstein,191 179,968 1068,50% 50%,2024-07-06
Thu Oct 10,Bolivia> Colombia>,World Cup qualifier in Bolivia,73 4,1551 2030,10% 90%,2024-07-06
Thu Oct 10,Chile> Brazil>,World Cup qualifier in Chile,40 6,1723 2021,24% 76%,2024-07-06
Thu Oct 10,Ecuador> Paraguay>,World Cup qualifier in Ecuador,16 49,1871 1661,86% 14%,2024-07-06
